Ref,Val,Package,PosX,PosY,Rot,Side
"C55","100nF","C_0201_0603Metric",143.980000,-77.375000,180.000000,top
"C56","100nF","C_0201_0603Metric",149.100000,-77.000000,-90.000000,top
"C57","100nF","C_0201_0603Metric",160.600000,-83.250000,180.000000,top
"C58","100nF","C_0201_0603Metric",160.445000,-93.000000,180.000000,top
"C59","100nF","C_0201_0603Metric",160.600000,-95.000000,180.000000,top
"C60","100nF","C_0201_0603Metric",160.445000,-101.500000,180.000000,top
"C61","100nF","C_0201_0603Metric",136.100000,-77.000000,-90.000000,top
"C62","100nF","C_0201_0603Metric",131.600000,-83.000000,0.000000,top
"C63","100nF","C_0201_0603Metric",155.600000,-77.000000,-90.000000,top
"C64","100nF","C_0201_0603Metric",131.255000,-88.000000,0.000000,top
"C65","4.7uF","C_0201_0603Metric",131.255000,-91.500000,0.000000,top
"C66","100nF","C_0201_0603Metric",131.255000,-100.500000,0.000000,top
